flight_number,airline,departure_airport,destination,departure_time,status,delay_minutes,delay_reason,weather_condition
FL7505,British Airways,LAX,JFK,2025-04-06 11:32:00,Delayed,250,Crew Shortage,Storm
FL9353,Lufthansa,JFK,AMS,2025-04-06 17:12:00,On Time,0,N/A,Rain
FL7828,Qatar Airways,LAX,ATL,2025-04-06 17:19:00,On Time,0,N/A,Rain
FL8061,Air France,JFK,SFO,2025-04-06 17:23:00,On Time,0,N/A,Rain
FL4333,Turkish Airlines,JFK,CDG,2025-04-06 09:30:00,Delayed,118,Late Arrival of Aircraft,Snow
FL1944,United,ATL,SFO,2025-04-06 10:39:00,Delayed,223,Crew Shortage,Snow
FL9982,Singapore Airlines,JFK,ICN,2025-04-06 19:13:00,Delayed,10,Technical Issue,Rain
FL1976,Qatar Airways,DXB,ORD,2025-04-06 00:24:00,On Time,0,N/A,Snow
FL5615,Air France,FRA,PEK,2025-04-06 22:54:00,On Time,0,N/A,Storm
FL6201,United,YYZ,ORD,2025-04-06 09:10:00,Delayed,283,Technical Issue,Fog
FL5075,Air France,DXB,ICN,2025-04-06 19:04:00,Delayed,224,Weather,Storm
FL6059,British Airways,ORD,SFO,2025-04-06 03:43:00,On Time,0,N/A,Fog
FL2324,Delta,LHR,FRA,2025-04-06 19:50:00,On Time,0,N/A,Windy
FL3988,Emirates,CDG,PEK,2025-04-06 14:27:00,On Time,0,N/A,Rain
FL3969,Air France,PEK,SFO,2025-04-06 02:05:00,On Time,0,N/A,Fog
FL5110,Singapore Airlines,SIN,AMS,2025-04-06 16:09:00,Delayed,162,Weather,Snow
FL7359,Delta,HND,SIN,2025-04-06 12:02:00,Delayed,198,Technical Issue,Storm
FL1491,United,JFK,SFO,2025-04-06 01:08:00,On Time,0,N/A,Windy
FL3486,United,SYD,CDG,2025-04-06 04:49:00,Canceled,0,N/A,Fog
FL2251,Turkish Airlines,HND,ORD,2025-04-06 15:48:00,Delayed,18,Weather,Clear
FL8111,Air France,ORD,ICN,2025-04-06 02:51:00,On Time,0,N/A,Storm
FL9730,Delta,ATL,ICN,2025-04-07 03:57:00,On Time,0,N/A,Rain
FL2660,American Airlines,ORD,SFO,2025-04-07 23:56:00,On Time,0,N/A,Fog
FL3686,Qatar Airways,SIN,ORD,2025-04-07 08:40:00,On Time,0,N/A,Snow
FL8874,British Airways,YYZ,SYD,2025-04-07 06:34:00,On Time,0,N/A,Rain
FL4994,Turkish Airlines,CDG,ATL,2025-04-07 04:20:00,On Time,0,N/A,Windy
FL2643,Delta,SIN,LAX,2025-04-07 16:44:00,On Time,0,N/A,Clear
FL7973,British Airways,ORD,SYD,2025-04-07 08:55:00,On Time,0,N/A,Clear
FL1993,Emirates,ATL,PEK,2025-04-07 01:09:00,On Time,0,N/A,Fog
FL4082,British Airways,LHR,ICN,2025-04-07 15:52:00,On Time,0,N/A,Snow
FL1436,Delta,LAX,SIN,2025-04-07 04:58:00,On Time,0,N/A,Storm
FL4594,Emirates,DXB,ATL,2025-04-07 08:23:00,Canceled,0,N/A,Rain
FL1618,Singapore Airlines,CDG,JFK,2025-04-07 17:11:00,On Time,0,N/A,Windy
FL7282,Turkish Airlines,LHR,ATL,2025-04-07 15:24:00,On Time,0,N/A,Rain
FL8997,Lufthansa,PEK,FRA,2025-04-07 20:52:00,Delayed,99,Late Arrival of Aircraft,Snow
FL5960,United,PEK,HND,2025-04-07 17:16:00,On Time,0,N/A,Clear
FL3055,Emirates,PEK,DXB,2025-04-07 01:58:00,On Time,0,N/A,Storm
FL1483,Singapore Airlines,ORD,LHR,2025-04-07 18:53:00,On Time,0,N/A,Storm
FL8383,Singapore Airlines,ATL,LHR,2025-04-07 01:22:00,On Time,0,N/A,Snow
FL7270,Emirates,ICN,DXB,2025-04-07 19:38:00,On Time,0,N/A,Rain
FL2820,Singapore Airlines,FRA,ICN,2025-04-07 09:02:00,On Time,0,N/A,Fog
FL7008,Emirates,ORD,YYZ,2025-04-07 11:54:00,Delayed,79,Technical Issue,Snow
FL6269,British Airways,ATL,LHR,2025-04-07 04:08:00,Canceled,0,N/A,Storm
FL5081,Air France,JFK,ATL,2025-04-07 02:21:00,Delayed,183,Security Issue,Fog
FL9175,Air France,SYD,JFK,2025-04-07 09:43:00,On Time,0,N/A,Rain
FL5009,Delta,PEK,HND,2025-04-07 01:46:00,On Time,0,N/A,Fog
FL9853,Lufthansa,ATL,DXB,2025-04-07 21:58:00,Delayed,280,Technical Issue,Fog
FL7993,British Airways,DXB,ORD,2025-04-07 19:43:00,Delayed,70,Late Arrival of Aircraft,Storm
FL6003,British Airways,PEK,ATL,2025-04-07 10:23:00,On Time,0,N/A,Clear
FL5897,Emirates,SYD,SFO,2025-04-07 15:22:00,On Time,0,N/A,Storm
FL9052,British Airways,SFO,PEK,2025-04-07 12:44:00,Delayed,246,Late Arrival of Aircraft,Snow
FL7114,American Airlines,DXB,ATL,2025-04-07 04:24:00,On Time,0,N/A,Snow
FL2198,Turkish Airlines,LAX,ATL,2025-04-07 05:03:00,Delayed,34,Technical Issue,Windy
FL3053,United,SFO,JFK,2025-04-07 00:55:00,On Time,0,N/A,Windy
FL4171,United,LAX,CDG,2025-04-07 13:03:00,On Time,0,N/A,Rain
FL9544,British Airways,PEK,LAX,2025-04-07 05:44:00,On Time,0,N/A,Windy
FL2972,Lufthansa,CDG,JFK,2025-04-07 17:29:00,On Time,0,N/A,Fog
FL4806,Emirates,ATL,LHR,2025-04-07 09:50:00,Delayed,208,Security Issue,Storm
FL5739,Lufthansa,CDG,ICN,2025-04-07 00:46:00,Canceled,0,N/A,Fog
FL6143,United,ICN,FRA,2025-04-07 10:20:00,On Time,0,N/A,Rain
FL6814,Delta,PEK,YYZ,2025-04-07 20:08:00,Delayed,268,Security Issue,Fog
FL1045,Air France,SYD,ATL,2025-04-07 03:44:00,Delayed,212,Weather,Fog
FL5561,Lufthansa,SFO,SIN,2025-04-07 02:12:00,On Time,0,N/A,Storm
FL7540,Qatar Airways,LHR,FRA,2025-04-07 10:49:00,On Time,0,N/A,Fog
FL3814,British Airways,PEK,YYZ,2025-04-07 09:17:00,On Time,0,N/A,Fog
FL8358,Turkish Airlines,SYD,ATL,2025-04-07 15:29:00,On Time,0,N/A,Fog
FL1676,Air France,YYZ,ATL,2025-04-07 04:14:00,On Time,0,N/A,Fog
FL3011,Lufthansa,CDG,ATL,2025-04-07 13:41:00,Delayed,45,Security Issue,Windy
FL4383,Turkish Airlines,DXB,SFO,2025-04-07 08:09:00,On Time,0,N/A,Rain
FL4746,Emirates,HND,SIN,2025-04-07 08:00:00,On Time,0,N/A,Fog
FL4093,Qatar Airways,YYZ,ATL,2025-04-07 02:19:00,On Time,0,N/A,Windy
FL5600,Turkish Airlines,PEK,DXB,2025-04-07 20:31:00,On Time,0,N/A,Fog
FL7102,Qatar Airways,LAX,ATL,2025-04-07 02:23:00,On Time,0,N/A,Fog
FL3716,Emirates,CDG,YYZ,2025-04-07 22:57:00,On Time,0,N/A,Clear
FL8917,United,HND,FRA,2025-04-07 04:23:00,On Time,0,N/A,Fog
FL2187,Delta,HND,LHR,2025-04-07 04:52:00,On Time,0,N/A,Snow
FL5374,Air France,ATL,AMS,2025-04-07 22:53:00,On Time,0,N/A,Fog
FL9259,United,SIN,ATL,2025-04-07 09:08:00,Delayed,60,Weather,Storm
FL5705,Air France,LHR,ICN,2025-04-07 07:19:00,On Time,0,N/A,Fog
FL5395,British Airways,CDG,SYD,2025-04-07 11:03:00,On Time,0,N/A,Fog
FL9373,Emirates,PEK,AMS,2025-04-07 22:57:00,On Time,0,N/A,Storm
FL3564,British Airways,ICN,SIN,2025-04-07 03:17:00,On Time,0,N/A,Snow
FL3466,American Airlines,HND,ICN,2025-04-07 10:18:00,On Time,0,N/A,Snow
FL4292,American Airlines,CDG,LAX,2025-04-07 01:28:00,On Time,0,N/A,Rain
FL8254,Lufthansa,CDG,YYZ,2025-04-07 19:09:00,Delayed,74,Weather,Storm
FL1553,Turkish Airlines,DXB,YYZ,2025-04-07 18:50:00,On Time,0,N/A,Storm
FL3156,Emirates,LAX,PEK,2025-04-07 12:15:00,On Time,0,N/A,Snow
FL5045,American Airlines,AMS,SIN,2025-04-07 11:32:00,On Time,0,N/A,Rain
FL9919,Singapore Airlines,SFO,FRA,2025-04-07 06:21:00,On Time,0,N/A,Windy
FL6885,Delta,DXB,ICN,2025-04-07 03:31:00,On Time,0,N/A,Storm
FL6292,Turkish Airlines,CDG,LHR,2025-04-07 17:18:00,On Time,0,N/A,Snow
FL9583,Air France,PEK,SFO,2025-04-07 11:54:00,On Time,0,N/A,Clear
FL8040,Qatar Airways,YYZ,PEK,2025-04-07 15:48:00,On Time,0,N/A,Snow
FL1893,Delta,SFO,CDG,2025-04-07 18:07:00,On Time,0,N/A,Storm
FL2215,United,ICN,AMS,2025-04-07 20:57:00,On Time,0,N/A,Storm
FL1737,Singapore Airlines,PEK,ORD,2025-04-07 01:57:00,On Time,0,N/A,Windy
FL9752,Emirates,SIN,LAX,2025-04-07 15:13:00,On Time,0,N/A,Windy
FL6982,United,SYD,LAX,2025-04-07 13:43:00,On Time,0,N/A,Windy
FL9395,Turkish Airlines,FRA,YYZ,2025-04-07 20:40:00,On Time,0,N/A,Storm
FL3562,Turkish Airlines,ATL,JFK,2025-04-07 11:22:00,Delayed,143,Weather,Snow
FL1532,Delta,SYD,JFK,2025-04-07 14:22:00,Delayed,182,Air Traffic Congestion,Fog
FL8567,Singapore Airlines,LAX,YYZ,2025-04-07 18:34:00,On Time,0,N/A,Snow
FL3912,Singapore Airlines,SFO,HND,2025-04-07 14:22:00,On Time,0,N/A,Clear
FL9751,Qatar Airways,ATL,HND,2025-04-07 01:07:00,On Time,0,N/A,Fog
FL3688,Singapore Airlines,AMS,SIN,2025-04-07 15:08:00,Delayed,97,Technical Issue,Snow
FL1585,Singapore Airlines,LHR,PEK,2025-04-07 02:41:00,Delayed,81,Technical Issue,Storm
FL5347,Lufthansa,YYZ,AMS,2025-04-07 04:41:00,On Time,0,N/A,Windy
FL1575,Emirates,LAX,SIN,2025-04-07 16:10:00,On Time,0,N/A,Clear
FL5775,Lufthansa,DXB,JFK,2025-04-07 08:51:00,Delayed,44,Technical Issue,Rain
FL8897,American Airlines,DXB,SIN,2025-04-07 11:57:00,On Time,0,N/A,Fog
FL9491,British Airways,HND,JFK,2025-04-07 04:19:00,On Time,0,N/A,Snow
FL9946,Turkish Airlines,SFO,LAX,2025-04-07 18:33:00,On Time,0,N/A,Rain
FL6124,Singapore Airlines,PEK,CDG,2025-04-07 19:19:00,Canceled,0,N/A,Windy
FL7241,Qatar Airways,AMS,ATL,2025-04-07 21:05:00,Delayed,51,Weather,Storm
FL5898,Lufthansa,DXB,ICN,2025-04-07 21:52:00,On Time,0,N/A,Snow
FL3750,Emirates,ATL,ORD,2025-04-07 04:53:00,Delayed,66,Air Traffic Congestion,Fog
FL9189,Lufthansa,PEK,LHR,2025-04-07 08:43:00,On Time,0,N/A,Fog
FL5118,Delta,DXB,LAX,2025-04-07 19:52:00,On Time,0,N/A,Windy
FL1236,Qatar Airways,ORD,ICN,2025-04-07 18:50:00,Delayed,283,Weather,Snow
FL8019,Lufthansa,ATL,DXB,2025-04-07 19:03:00,Delayed,162,Technical Issue,Storm
FL5718,Turkish Airlines,SIN,ICN,2025-04-07 22:23:00,Delayed,284,Air Traffic Congestion,Storm
FL6518,United,YYZ,ATL,2025-04-07 19:56:00,On Time,0,N/A,Snow
FL8429,Lufthansa,SIN,DXB,2025-04-07 10:21:00,Delayed,85,Weather,Storm
FL7651,Turkish Airlines,FRA,CDG,2025-04-07 20:24:00,On Time,0,N/A,Clear
FL1798,American Airlines,ATL,DXB,2025-04-07 11:15:00,On Time,0,N/A,Snow
FL2626,American Airlines,DXB,HND,2025-04-07 06:30:00,On Time,0,N/A,Snow
FL5770,Turkish Airlines,JFK,ORD,2025-04-07 17:09:00,On Time,0,N/A,Storm
FL9813,United,SYD,ATL,2025-04-07 07:22:00,On Time,0,N/A,Fog
FL5201,Singapore Airlines,LAX,ORD,2025-04-07 14:10:00,On Time,0,N/A,Rain
FL1534,American Airlines,DXB,AMS,2025-04-07 14:07:00,On Time,0,N/A,Rain
FL7758,Singapore Airlines,YYZ,FRA,2025-04-07 12:47:00,On Time,0,N/A,Snow
FL3360,Air France,PEK,AMS,2025-04-07 17:02:00,Delayed,171,Crew Shortage,Storm
FL4460,Delta,HND,ATL,2025-04-07 01:05:00,On Time,0,N/A,Rain
FL8864,Air France,SYD,LHR,2025-04-07 20:06:00,On Time,0,N/A,Fog
FL2291,Lufthansa,HND,LAX,2025-04-07 08:03:00,On Time,0,N/A,Storm
FL9813,Singapore Airlines,ATL,ORD,2025-04-07 02:40:00,On Time,0,N/A,Storm
FL7811,British Airways,ICN,LHR,2025-04-07 05:16:00,On Time,0,N/A,Fog
FL8790,Air France,HND,CDG,2025-04-07 18:35:00,Delayed,210,Crew Shortage,Snow
FL3215,American Airlines,DXB,CDG,2025-04-07 23:05:00,Delayed,24,Weather,Rain
FL6674,United,LHR,PEK,2025-04-07 20:11:00,Delayed,246,Weather,Storm
FL8777,British Airways,SYD,CDG,2025-04-07 03:31:00,On Time,0,N/A,Storm
FL2431,Turkish Airlines,FRA,CDG,2025-04-08 23:46:00,On Time,0,N/A,Fog
FL2567,Singapore Airlines,JFK,ORD,2025-04-08 04:19:00,Delayed,156,Air Traffic Congestion,Snow
FL8829,Lufthansa,DXB,ORD,2025-04-08 17:58:00,Delayed,221,Weather,Snow
FL1463,American Airlines,AMS,SFO,2025-04-08 22:33:00,On Time,0,N/A,Rain
FL6618,Singapore Airlines,SYD,JFK,2025-04-08 00:37:00,On Time,0,N/A,Storm
FL6693,United,PEK,SYD,2025-04-08 12:17:00,On Time,0,N/A,Storm
FL9904,Delta,SYD,DXB,2025-04-08 06:42:00,On Time,0,N/A,Storm
FL3830,Emirates,SFO,SYD,2025-04-08 16:21:00,On Time,0,N/A,Windy
FL9135,Air France,AMS,PEK,2025-04-08 05:19:00,Canceled,0,N/A,Clear
FL2038,Turkish Airlines,AMS,YYZ,2025-04-08 17:03:00,On Time,0,N/A,Storm
FL6675,Singapore Airlines,JFK,AMS,2025-04-08 19:38:00,On Time,0,N/A,Fog
FL5373,Air France,AMS,LAX,2025-04-08 01:42:00,Delayed,27,Late Arrival of Aircraft,Fog
FL8703,Emirates,YYZ,HND,2025-04-08 20:13:00,Delayed,85,Technical Issue,Fog
FL5622,Qatar Airways,YYZ,ICN,2025-04-08 09:44:00,On Time,0,N/A,Snow
FL8466,Turkish Airlines,LHR,JFK,2025-04-08 14:52:00,Delayed,280,Crew Shortage,Storm
FL5989,Emirates,DXB,CDG,2025-04-08 22:01:00,On Time,0,N/A,Snow
FL2613,British Airways,CDG,DXB,2025-04-08 10:48:00,On Time,0,N/A,Rain
FL7823,American Airlines,DXB,JFK,2025-04-08 11:48:00,On Time,0,N/A,Clear
FL1965,Delta,JFK,FRA,2025-04-08 00:29:00,On Time,0,N/A,Snow
FL7785,Air France,ATL,FRA,2025-04-08 03:39:00,On Time,0,N/A,Windy
FL9374,Lufthansa,JFK,ATL,2025-04-08 14:49:00,On Time,0,N/A,Snow
FL3238,Delta,ORD,PEK,2025-04-08 02:40:00,On Time,0,N/A,Clear
FL1442,British Airways,ICN,YYZ,2025-04-08 08:13:00,On Time,0,N/A,Clear
FL9422,Qatar Airways,SFO,PEK,2025-04-08 09:09:00,On Time,0,N/A,Snow
FL8032,Delta,CDG,PEK,2025-04-08 19:40:00,On Time,0,N/A,Snow
FL7114,British Airways,YYZ,DXB,2025-04-08 11:43:00,Delayed,88,Crew Shortage,Snow
FL4554,American Airlines,LAX,ORD,2025-04-08 14:16:00,On Time,0,N/A,Storm
FL8009,Lufthansa,AMS,SYD,2025-04-08 08:08:00,Delayed,172,Technical Issue,Fog
FL7565,American Airlines,ICN,YYZ,2025-04-08 19:13:00,On Time,0,N/A,Windy
FL9103,Qatar Airways,YYZ,ORD,2025-04-08 16:59:00,On Time,0,N/A,Windy
FL6545,Delta,ICN,ORD,2025-04-08 13:41:00,On Time,0,N/A,Rain
FL6242,United,SFO,SYD,2025-04-08 12:50:00,On Time,0,N/A,Windy
FL9938,Air France,SFO,ORD,2025-04-08 04:30:00,Canceled,0,N/A,Snow
FL5163,Emirates,DXB,SIN,2025-04-08 13:41:00,On Time,0,N/A,Storm
FL5657,Singapore Airlines,LAX,HND,2025-04-08 08:04:00,On Time,0,N/A,Clear
FL3195,United,LAX,AMS,2025-04-08 01:45:00,On Time,0,N/A,Rain
FL8106,British Airways,PEK,ATL,2025-04-08 06:11:00,On Time,0,N/A,Snow
FL2647,Singapore Airlines,SIN,AMS,2025-04-08 15:54:00,On Time,0,N/A,Fog
FL1469,Turkish Airlines,JFK,LAX,2025-04-08 22:19:00,Canceled,0,N/A,Clear
FL8688,Qatar Airways,LAX,LHR,2025-04-08 09:47:00,On Time,0,N/A,Rain
FL8168,American Airlines,ATL,DXB,2025-04-08 22:47:00,On Time,0,N/A,Fog
FL3290,American Airlines,ATL,HND,2025-04-08 04:23:00,Delayed,135,Weather,Fog
FL5042,British Airways,FRA,SYD,2025-04-08 10:52:00,On Time,0,N/A,Storm
FL5550,Lufthansa,ICN,YYZ,2025-04-08 07:29:00,On Time,0,N/A,Rain
FL8793,British Airways,DXB,ORD,2025-04-08 05:46:00,Delayed,231,Late Arrival of Aircraft,Storm
FL5843,Singapore Airlines,YYZ,ORD,2025-04-08 08:43:00,On Time,0,N/A,Clear
FL2293,United,SIN,YYZ,2025-04-08 12:49:00,On Time,0,N/A,Windy
FL8201,Air France,ATL,PEK,2025-04-08 12:06:00,On Time,0,N/A,Windy
FL7041,Qatar Airways,SYD,ICN,2025-04-08 13:10:00,On Time,0,N/A,Windy
FL4227,American Airlines,ATL,ICN,2025-04-08 04:25:00,On Time,0,N/A,Clear
FL9794,Qatar Airways,FRA,ORD,2025-04-08 07:12:00,On Time,0,N/A,Fog
FL9077,Emirates,LAX,PEK,2025-04-08 23:34:00,On Time,0,N/A,Rain
FL7882,British Airways,FRA,HND,2025-04-08 06:40:00,On Time,0,N/A,Storm
FL3946,British Airways,LHR,CDG,2025-04-08 10:21:00,On Time,0,N/A,Storm
FL5894,United,LHR,LAX,2025-04-08 02:43:00,Delayed,108,Technical Issue,Storm
FL1284,Singapore Airlines,YYZ,ORD,2025-04-08 22:31:00,On Time,0,N/A,Clear
FL8768,Qatar Airways,SIN,ATL,2025-04-08 19:40:00,On Time,0,N/A,Windy
FL5623,Turkish Airlines,ORD,ATL,2025-04-08 21:51:00,On Time,0,N/A,Windy
FL8358,Lufthansa,LAX,SYD,2025-04-08 15:59:00,Delayed,227,Weather,Fog
FL6073,Lufthansa,DXB,LHR,2025-04-08 18:59:00,On Time,0,N/A,Storm
FL4032,Qatar Airways,CDG,SFO,2025-04-08 23:22:00,On Time,0,N/A,Clear
FL5845,Delta,YYZ,SFO,2025-04-08 13:22:00,On Time,0,N/A,Clear
FL7208,American Airlines,YYZ,SYD,2025-04-08 16:44:00,On Time,0,N/A,Snow
FL5327,Air France,SIN,DXB,2025-04-08 09:53:00,On Time,0,N/A,Snow
FL4040,Delta,LHR,SIN,2025-04-08 11:35:00,On Time,0,N/A,Rain
FL1100,Qatar Airways,ATL,AMS,2025-04-08 20:26:00,On Time,0,N/A,Storm
FL7506,Delta,ATL,CDG,2025-04-08 16:26:00,On Time,0,N/A,Windy
FL7435,United,ATL,ORD,2025-04-08 16:31:00,On Time,0,N/A,Rain
FL5722,American Airlines,AMS,LAX,2025-04-08 16:00:00,On Time,0,N/A,Windy
FL1783,United,ATL,ORD,2025-04-08 22:40:00,Delayed,149,Crew Shortage,Storm
FL4758,Emirates,SIN,ICN,2025-04-08 02:00:00,Canceled,0,N/A,Clear
FL8522,American Airlines,HND,SFO,2025-04-08 01:10:00,Delayed,211,Security Issue,Fog
FL2786,Qatar Airways,CDG,ORD,2025-04-08 05:24:00,On Time,0,N/A,Clear
FL1574,American Airlines,ATL,SYD,2025-04-08 22:09:00,On Time,0,N/A,Rain
FL4531,Qatar Airways,HND,LHR,2025-04-08 01:28:00,Canceled,0,N/A,Fog
FL2568,Delta,ATL,LAX,2025-04-08 22:13:00,On Time,0,N/A,Fog
FL5392,Emirates,FRA,AMS,2025-04-08 03:25:00,Delayed,257,Technical Issue,Snow
FL3204,British Airways,SIN,JFK,2025-04-08 02:41:00,On Time,0,N/A,Storm
FL3690,Emirates,LAX,CDG,2025-04-08 12:07:00,On Time,0,N/A,Rain
FL4611,British Airways,HND,SYD,2025-04-08 02:55:00,On Time,0,N/A,Clear
FL3431,Qatar Airways,SFO,ORD,2025-04-08 20:20:00,On Time,0,N/A,Windy
FL4766,Qatar Airways,YYZ,ATL,2025-04-08 00:36:00,On Time,0,N/A,Windy
FL7703,Lufthansa,AMS,YYZ,2025-04-08 18:52:00,On Time,0,N/A,Storm
FL1685,Air France,HND,AMS,2025-04-08 22:07:00,On Time,0,N/A,Fog
FL4225,Lufthansa,PEK,LAX,2025-04-08 00:06:00,On Time,0,N/A,Clear
FL2808,United,YYZ,ICN,2025-04-08 02:08:00,On Time,0,N/A,Fog
FL1285,Turkish Airlines,SFO,SIN,2025-04-08 15:37:00,Delayed,26,Air Traffic Congestion,Clear
FL4470,Turkish Airlines,ORD,CDG,2025-04-08 21:10:00,Canceled,0,N/A,Storm
FL9690,Turkish Airlines,JFK,SFO,2025-04-08 10:32:00,On Time,0,N/A,Snow
FL3775,Turkish Airlines,JFK,HND,2025-04-08 09:43:00,Delayed,24,Technical Issue,Fog
FL5278,Emirates,FRA,ATL,2025-04-08 01:51:00,On Time,0,N/A,Windy
FL6794,Lufthansa,ICN,SYD,2025-04-08 16:08:00,On Time,0,N/A,Snow
FL2054,British Airways,YYZ,SYD,2025-04-08 23:50:00,Delayed,130,Security Issue,Fog
FL1126,Qatar Airways,LHR,ORD,2025-04-08 00:32:00,On Time,0,N/A,Windy
FL5179,United,PEK,HND,2025-04-08 21:09:00,On Time,0,N/A,Storm
FL2518,British Airways,AMS,PEK,2025-04-08 01:31:00,On Time,0,N/A,Fog
FL5704,Singapore Airlines,SIN,SFO,2025-04-08 02:41:00,On Time,0,N/A,Storm
FL8185,Air France,FRA,SYD,2025-04-08 11:48:00,Delayed,148,Technical Issue,Storm
FL3079,Qatar Airways,SYD,SIN,2025-04-08 08:18:00,On Time,0,N/A,Clear
FL2567,Emirates,SYD,LHR,2025-04-08 02:53:00,Delayed,248,Late Arrival of Aircraft,Fog
FL8794,British Airways,ORD,ICN,2025-04-08 05:25:00,Delayed,72,Weather,Storm
FL5663,Singapore Airlines,DXB,ICN,2025-04-08 06:41:00,On Time,0,N/A,Rain
FL2677,Air France,ORD,SFO,2025-04-08 04:28:00,On Time,0,N/A,Fog
FL8843,Emirates,AMS,SFO,2025-04-08 20:28:00,Delayed,240,Security Issue,Snow
FL6355,Singapore Airlines,HND,PEK,2025-04-08 13:24:00,On Time,0,N/A,Rain
FL2065,Air France,ATL,ORD,2025-04-08 06:51:00,On Time,0,N/A,Snow
FL5436,United,YYZ,CDG,2025-04-08 21:41:00,Canceled,0,N/A,Snow
FL2186,American Airlines,LHR,SFO,2025-04-08 12:46:00,On Time,0,N/A,Windy
FL2418,Turkish Airlines,LHR,CDG,2025-04-08 09:51:00,On Time,0,N/A,Snow
FL5739,Singapore Airlines,DXB,JFK,2025-04-08 12:14:00,On Time,0,N/A,Fog
FL1273,Turkish Airlines,SFO,SIN,2025-04-08 17:29:00,On Time,0,N/A,Clear
FL3816,Qatar Airways,LHR,HND,2025-04-08 16:24:00,On Time,0,N/A,Storm
FL8289,British Airways,JFK,YYZ,2025-04-08 12:46:00,On Time,0,N/A,Fog
FL4448,Qatar Airways,AMS,DXB,2025-04-08 05:54:00,Canceled,0,N/A,Rain
FL5651,American Airlines,CDG,JFK,2025-04-08 00:29:00,On Time,0,N/A,Fog
FL5375,Emirates,CDG,ICN,2025-04-08 06:33:00,On Time,0,N/A,Snow
FL8011,Lufthansa,AMS,SFO,2025-04-08 11:52:00,On Time,0,N/A,Clear
FL3332,Turkish Airlines,LHR,PEK,2025-04-08 07:28:00,On Time,0,N/A,Clear
FL4427,Air France,ORD,JFK,2025-04-08 06:57:00,On Time,0,N/A,Clear
FL8853,American Airlines,ICN,PEK,2025-04-08 02:30:00,On Time,0,N/A,Fog
FL6070,Turkish Airlines,PEK,SIN,2025-04-09 19:54:00,On Time,0,N/A,Fog
FL4456,Delta,LHR,ORD,2025-04-09 15:30:00,On Time,0,N/A,Windy
FL4573,Singapore Airlines,FRA,ATL,2025-04-09 16:21:00,On Time,0,N/A,Windy
FL2124,Air France,ATL,CDG,2025-04-09 03:41:00,On Time,0,N/A,Snow
FL6139,Turkish Airlines,SFO,FRA,2025-04-09 13:48:00,On Time,0,N/A,Clear
FL4960,Turkish Airlines,LHR,ICN,2025-04-09 06:47:00,On Time,0,N/A,Clear
FL4318,Turkish Airlines,CDG,YYZ,2025-04-09 07:23:00,On Time,0,N/A,Clear
FL8424,United,SIN,CDG,2025-04-09 14:32:00,On Time,0,N/A,Clear
FL5538,Air France,HND,SFO,2025-04-09 17:55:00,Delayed,23,Crew Shortage,Rain
FL1349,Lufthansa,SFO,AMS,2025-04-09 05:27:00,On Time,0,N/A,Rain
FL8723,Singapore Airlines,ATL,LHR,2025-04-09 06:49:00,On Time,0,N/A,Fog
FL4505,Turkish Airlines,HND,ICN,2025-04-09 02:59:00,On Time,0,N/A,Snow
FL2617,American Airlines,YYZ,JFK,2025-04-09 08:17:00,On Time,0,N/A,Windy
FL6144,Qatar Airways,PEK,CDG,2025-04-09 05:21:00,On Time,0,N/A,Storm
FL8640,Singapore Airlines,YYZ,ICN,2025-04-09 13:46:00,Delayed,68,Weather,Snow
FL5360,Air France,ATL,JFK,2025-04-09 14:48:00,On Time,0,N/A,Snow
FL4438,Qatar Airways,JFK,FRA,2025-04-09 18:25:00,On Time,0,N/A,Clear
FL4244,United,YYZ,SFO,2025-04-09 02:08:00,On Time,0,N/A,Windy
FL2348,Air France,SIN,LHR,2025-04-09 13:51:00,Delayed,152,Air Traffic Congestion,Storm
FL4745,Delta,DXB,FRA,2025-04-09 12:57:00,Delayed,159,Security Issue,Fog
FL1136,Turkish Airlines,SFO,CDG,2025-04-09 11:56:00,On Time,0,N/A,Windy
FL2466,Lufthansa,SYD,YYZ,2025-04-09 05:56:00,On Time,0,N/A,Fog
FL4427,American Airlines,FRA,PEK,2025-04-09 20:43:00,On Time,0,N/A,Rain
FL8704,British Airways,LHR,ORD,2025-04-09 04:39:00,On Time,0,N/A,Snow
FL1688,British Airways,LHR,ICN,2025-04-09 23:34:00,Delayed,262,Technical Issue,Storm
FL6235,United,ICN,JFK,2025-04-09 19:22:00,On Time,0,N/A,Clear
FL4970,Singapore Airlines,FRA,ICN,2025-04-09 04:21:00,On Time,0,N/A,Windy
FL9517,Turkish Airlines,JFK,FRA,2025-04-09 20:25:00,Delayed,29,Weather,Windy
FL4009,Lufthansa,ATL,HND,2025-04-09 03:40:00,Canceled,0,N/A,Rain
FL3410,Lufthansa,FRA,YYZ,2025-04-09 13:33:00,On Time,0,N/A,Fog
FL6441,British Airways,ATL,PEK,2025-04-09 02:06:00,On Time,0,N/A,Storm
FL8898,Lufthansa,DXB,ICN,2025-04-09 01:32:00,Delayed,213,Crew Shortage,Snow
FL5188,Air France,DXB,ICN,2025-04-09 01:15:00,On Time,0,N/A,Windy
FL9052,Delta,ICN,DXB,2025-04-09 04:47:00,On Time,0,N/A,Fog
FL8680,Emirates,SFO,SIN,2025-04-09 04:31:00,On Time,0,N/A,Snow
